Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
Telescope,0.589,0.481,0,-4.801,1,0.0285,0.273,0.0000133,0.0986,0.176,93.568,579XFPQju7GyJcEvIjloXn,228293,4
Love in the Time of Socialism,0.244,0.259,10,-9.591,1,0.035,0.915,0,0.158,0.19,76.973,0JuJ0M9ZaKDwXms3rUh1Hk,251185,4
Clay Pigeons,0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175,0XgRWgcs0Pcr9PSIdFWD4N,186000,4
Sweet Marie,0.245,0.425,9,-8.379,1,0.0324,0.914,0.646,0.116,0.254,203.816,7MBSbBrx0TvBYyKEcpGcJb,137092,4
"Wasteland, Baby!",0.427,0.407,2,-9.665,1,0.0382,0.612,0.386,0.109,0.244,168.844,1HYnjKqSSHh1tdl2Hi57zH,266467,4
The Moon Song,0.405,0.0854,0,-15.488,1,0.0336,0.968,0.0121,0.139,0.148,93.768,3s9eWdn8IymCPvVLcKpjww,141040,4
Red Rabbits,0.574,0.373,8,-8.47,1,0.0271,0.522,0,0.701,0.327,104.884,1Kb2IqKylZMEHxxdtd3mcy,269595,4
When You Were Made,0.557,0.769,11,-5.401,1,0.0285,0.412,0,0.173,0.395,116.088,47WtMNT8S9n3eqsCn076Bf,218352,4
Malibu 1992,0.55,0.323,6,-7.769,1,0.0422,0.0603,0.0767,0.142,0.504,147.47,0VGyn5TrmY6oq05Ynj63Hz,341333,4
Rubber Ball,0.444,0.263,5,-12.276,1,0.0251,0.644,0.00000149,0.867,0.19,77.158,65Fz2cM2BiIlBBlNbw5RtZ,244480,4
Aging out of the 20th Century,0.55,0.132,10,-15.643,1,0.0387,0.951,0.0021,0.117,0.241,114.974,5gVMHBodcPKPvFTxnFV5BT,206684,4
Nellie,0.506,0.526,4,-9.936,1,0.0285,0.334,0.000539,0.0907,0.591,129.641,1aRvUHgMe9ichgcHAAs12f,217613,4
Altered State of Mind,0.57,0.616,10,-5.727,1,0.0266,0.303,0.000346,0.118,0.143,119.914,4wuu0v0TsGf22iYAgIcKlb,226000,4
Saccharine,0.375,0.289,4,-11.508,1,0.0295,0.525,0.0126,0.0898,0.114,76.328,2WFJ4lrFWnsZFUPSn9ETkX,304813,4
uuu,0.531,0.402,4,-7.064,1,0.0288,0.981,0.00616,0.139,0.415,133.704,2PNMv1A8dtjF60pPHuvyqB,211394,4
Only Ones Who Know,0.257,0.409,7,-10.828,0,0.0363,0.899,0.00293,0.109,0.0794,145.759,7ABWRukVQcXrIrDKDx5Gek,181480,5
High Tops,0.557,0.458,7,-5.127,1,0.0306,0.0499,0.0000567,0.176,0.262,128.126,1TPgw76OuRx2VA390Kjari,238200,4
Wonderfully Bizarre,0.596,0.216,4,-10.497,1,0.0413,0.941,0.000033,0.0954,0.284,130.508,3lbmdgYRVc3MkhSAu4xkTd,320340,4
Swimming,0.435,0.404,4,-13.252,1,0.0266,0.0366,0.351,0.117,0.366,154.959,0qZngsBTYM37fevbe03IlX,280251,3
Something Wild,0.648,0.16,4,-15.624,1,0.0394,0.967,0.0987,0.105,0.258,76.724,0kuIEoB1c07wXxWTVVZ9QF,179527,4
Never Wanna Leave,0.267,0.105,0,-18.003,1,0.0364,0.884,0.181,0.0918,0.056,175.273,1Pa01iyZXm2CYtF0CbeXOG,215476,3
Homesick of Home,0.712,0.227,2,-17.171,1,0.0296,0.835,0.102,0.311,0.363,74.955,2RR8DAtljevknbFMjlBfsB,142875,3
Ruby Fields,0.542,0.505,1,-6.972,0,0.0268,0.474,0.0000469,0.215,0.332,144.876,1gztFMEaH1IZmoPnlcuq8o,187345,4
Chamomile,0.61,0.119,7,-14.018,1,0.0378,0.922,0.000177,0.284,0.231,103.807,1zQC1ASDLpLuD3AlmLA8JC,154958,4
Days on a Wire,0.423,0.612,2,-7.95,1,0.038,0.519,0.341,0.0911,0.453,83.12,5BTF2QwRPveUDs70dt244a,246860,4
Utah,0.56,0.325,4,-8.622,1,0.0314,0.954,0.00278,0.209,0.225,68.558,6RZqf37lR2vnJ2AiZFINtl,145401,4
Golden Slumbers,0.466,0.326,0,-12.484,1,0.0277,0.973,0.412,0.104,0.127,70.008,5PKk8yMvNzrNRMDebFGqZ9,178286,4
